kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;subcategorie_nederland;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;type;vervaldatum_apk;maximum_massa_trekken_ongeremd;vervaldatum_tachograaf;vervaldatum_apk_dt;vervaldatum_tachograaf_dt;oplegger_geremd;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;aantal_staanplaatsen;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximum_trekken_massa_geremd;hoogte_voertuig_minimum;hoogte_voertuig_maximum;gem_lading_wrde;verticale_belasting_koppelpunt_getrokken_voertuig;aerodyn_voorz;verl_cab_ind;massa_alt_aandr;type_gasinstallatie;bruto_bpm;zuinigheidsclassificatie;catalogusprijs
00TRH9;Personenauto;VOLVO;V70;20170406;stationwagen;ZWART;Niet geregistreerd;5;1566;1666;20120329;20120329;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.07;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2017-04-06T00:00:00.000;2012-03-29T00:00:00.000;2012-03-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2300;0;3900;;5;1984;2300;;;;B;20240406;750;;2024-04-06T00:00:00.000;;;e9*2001/116*0065*15;BW88;BW88A1??;0;0.00;;;;;;1600;;;;;;;;;9041;B;43482
00TRX3;Personenauto;VOLVO;C30;20171028;coupe;GRIJS;Niet geregistreerd;4;1229;1329;20120329;20120329;Geen verstrekking in Open Data;Ja;2;4;M1;midden op schutbord onder motorkap;0.08;264;Nee;Nee;Nee;2022;Logisch;00;Ja;2017-10-28T00:00:00.000;2012-03-29T00:00:00.000;2012-03-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;427;0;1750;0;3100;;4;1999;1750;;;;M;20231027;650;;2023-10-27T00:00:00.000;;;e4*2001/116*0076*25;MK43;MK4352??;0;0.00;;;;;;1350;;;;;;;;;7365;E;23834
00TSP6;Personenauto;VOLVO;XC60;20210721;stationwagen;GRIJS;Niet geregistreerd;4;1606;1706;20120414;20120414;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat v. voorzitting;0.10;277;Nee;Nee;Nee;2023;Logisch;00;Ja;2021-07-21T00:00:00.000;2012-04-14T00:00:00.000;2012-04-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2270;0;4070;;5;1999;2270;;;;D;20240414;750;;2024-04-14T00:00:00.000;;;e9*2001/116*0068*10;DZ47;DZ475B??;0;0.00;;;;;;1800;;;;;;;;;15035;D;56675
00TSX3;Personenauto;VOLVO;S80;20230404;sedan;ZWART;Niet geregistreerd;5;1514;1614;20071218;20120404;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.09;284;Nee;Nee;Nee;2023;Geen oordeel;05;Ja;2023-04-04T00:00:00.000;2007-12-18T00:00:00.000;2012-04-04T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;485;0;2160;0;3960;;5;2521;2160;;;;;20240404;750;;2024-04-04T00:00:00.000;;;e9*2001/116*0057*05;AS56;AS5650??;0;0.00;;;;;;1800;;;;;;;;;10492;D;55071
00TTJ4;Personenauto;VOLVO;240 DL;20191116;stationwagen;WIT;Niet geregistreerd;4;1269;1369;19830203;20120330;Geen verstrekking in Open Data;Ja;4;4;M1;tegen r. voorste deurstyl;0.05;264;Nee;Nee;Nee;2021;Geen oordeel;05;Ja;2019-11-16T00:00:00.000;1983-02-03T00:00:00.000;2012-03-30T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;1950;0;0;;5;1986;1950;;;;;20230404;634;;2023-04-04T00:00:00.000;;;;;;;;;;;;;1500;;;;;;;;;;;
00TTT2;Personenauto;VOLVO;V50;20160707;MPV;ZWART;Niet geregistreerd;4;1290;1390;20120418;20120418;Geen verstrekking in Open Data;Ja;4;4;M1;midden op schutbord onder motorkap;0.06;264;Nee;Nee;Nee;2023;Logisch;00;Ja;2016-07-07T00:00:00.000;2012-04-18T00:00:00.000;2012-04-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1900;0;3200;;5;1560;1900;;;;M;20230705;695;;2023-07-05T00:00:00.000;;;e4*2001/116*0076*25;MW84;MW84F1??;0;0.00;;;;;;1300;;;;;;;;;4712;A;31034
00TTV8;Personenauto;VOLVO;V70;20211102;stationwagen;GRIJS;Niet geregistreerd;4;1493;1593;20120418;20120418;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.08;282;Nee;Nee;Nee;2022;Logisch;00;Ja;2021-11-02T00:00:00.000;2012-04-18T00:00:00.000;2012-04-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2190;0;3790;;5;1596;2190;;;;B;20231027;750;;2023-10-27T00:00:00.000;;;e9*2001/116*0065*15;BW48;BW48C1??;0;0.00;;;;;;1600;;;;;;;;;7425;B;44693
00TVD6;Personenauto;VOLVO;V50;20161229;MPV;ZWART;Niet geregistreerd;4;1290;1390;20120413;20120413;Geen verstrekking in Open Data;Ja;4;4;M1;midden op schutbord onder motorkap;0.06;264;Nee;Nee;Nee;2022;Logisch;00;Ja;2016-12-29T00:00:00.000;2012-04-13T00:00:00.000;2012-04-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1900;0;3200;;5;1560;1900;;;;M;20231230;695;;2023-12-30T00:00:00.000;;;e4*2001/116*0076*25;MW84;MW84F1??;0;0.00;;;;;;1300;;;;;;;;;4691;A;30784
00TVH6;Personenauto;VOLVO;V70;20150821;stationwagen;ZWART;Niet geregistreerd;4;1493;1593;20120413;20120413;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.08;282;Nee;Nee;Nee;2022;Logisch;00;Ja;2015-08-21T00:00:00.000;2012-04-13T00:00:00.000;2012-04-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2190;0;3790;;5;1596;2190;;;;B;20230820;750;;2023-08-20T00:00:00.000;;;e9*2001/116*0065*15;BW48;BW48C1??;0;0.00;;;;;;1600;;;;;;;;;7693;B;47833
00TVP3;Personenauto;VOLVO;S60;;sedan;ZWART;Niet geregistreerd;5;1451;1551;20120418;20120418;Geen verstrekking in Open Data;Nee;4;4;M1;r. bodemplaat by voorzitting;0.08;278;Ja;Ja;Nee;2021;Logisch;00;Nee;;2012-04-18T00:00:00.000;2012-04-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2090;0;3690;;5;1984;2090;;;;F;20210717;750;;2021-07-17T00:00:00.000;;;e9*2007/46*0023*07;FS88;FS88A1??;0;0.00;;;;;;1600;;;;;;;;;8456;B;44685
00TVT2;Personenauto;VOLVO;V50;20221228;MPV;GRIJS;Niet geregistreerd;4;1290;1390;20120418;20120418;Geen verstrekking in Open Data;Ja;4;4;M1;midden op schutbord onder motorkap;0.06;264;Nee;Nee;Nee;2023;Logisch;00;Ja;2022-12-28T00:00:00.000;2012-04-18T00:00:00.000;2012-04-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1900;0;3200;;5;1560;1900;;;;M;20240418;695;;2024-04-18T00:00:00.000;;;e4*2001/116*0076*25;MW84;MW84F1??;0;0.00;;;;;;1300;;;;;;;;;4716;A;31084
00TXD4;Personenauto;VOLVO;XC60;20141003;stationwagen;GRIJS;Niet geregistreerd;5;1624;1724;20120420;20120420;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat v. voorzitting;0.07;277;Nee;Nee;Nee;2023;Logisch;00;Ja;2014-10-03T00:00:00.000;2012-04-20T00:00:00.000;2012-04-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2505;0;4105;;5;1984;2505;;;;D;20231013;750;;2023-10-13T00:00:00.000;;;e9*2001/116*0068*10;DZ88;DZ88A1??;0;0.00;;;;;;1600;;;;;;;;;9906;C;57035
00TXK8;Personenauto;VOLVO;V60;20170711;stationwagen;ROOD;Niet geregistreerd;4;1432;1532;20120426;20120426;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat by voorzitting;0.07;278;Nee;Nee;Nee;2022;Logisch;00;Ja;2017-07-11T00:00:00.000;2012-04-26T00:00:00.000;2012-04-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2100;0;3700;;5;1596;2100;;;;F;20230704;750;;2023-07-04T00:00:00.000;;;e9*2007/46*0023*07;FW45;FW45C1??;0;0.00;;;;;;1600;;;;;;;;;5467;A;39885
00TXP7;Personenauto;VOLVO;V70;20210722;stationwagen;GRIJS;Niet geregistreerd;5;1566;1666;20120427;20120427;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.07;282;Nee;Ja;Nee;2023;Logisch;00;Ja;2021-07-22T00:00:00.000;2012-04-27T00:00:00.000;2012-04-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2300;0;3900;;5;1984;2300;;;;B;20240520;750;;2024-05-20T00:00:00.000;;;e9*2001/116*0065*15;BW88;BW88A1??;0;0.00;;;;;;1600;;;;;;;;;9535;B;49272
00TXV6;Personenauto;VOLVO;V60;20220610;stationwagen;GRIJS;Niet geregistreerd;4;1432;1532;20120504;20120504;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat by voorzitting;0.07;278;Nee;Nee;Nee;2023;Logisch;00;Ja;2022-06-10T00:00:00.000;2012-05-04T00:00:00.000;2012-05-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2100;0;3700;;5;1596;2100;;;;F;20240603;750;;2024-06-03T00:00:00.000;;;e9*2007/46*0023*07;FW45;FW45C1??;0;0.00;;;;;;1600;;;;;;;;;5463;A;39840
00TZD4;Personenauto;VOLVO;V70;20171102;stationwagen;ZWART;Niet geregistreerd;4;1511;1611;20120515;20120515;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.08;282;Nee;Nee;Nee;2022;Logisch;00;Ja;2017-11-02T00:00:00.000;2012-05-15T00:00:00.000;2012-05-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2210;0;3810;;5;1596;2210;;;;B;20231102;750;;2023-11-02T00:00:00.000;;;e9*2001/116*0065*15;BW48;BW48HB??;0;0.00;;;;;;1600;;;;;;;;;8897;C;45826
00TZN6;Personenauto;VOLVO;S40;20160602;sedan;ZWART;Niet geregistreerd;4;1280;1380;20120502;20120502;Geen verstrekking in Open Data;Ja;4;4;M1;midden op schutbord onder motorkap;0.06;264;Nee;Nee;Nee;2023;Logisch;00;Ja;2016-06-02T00:00:00.000;2012-05-02T00:00:00.000;2012-05-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;448;0;1880;0;3180;;5;1560;1880;;;;M;20240530;650;;2024-05-30T00:00:00.000;;;e4*2001/116*0076*25;MS84;MS84F1??;0;0.00;;;;;;1300;;;;;;;;;4559;A;29245
00TZZ9;Personenauto;VOLVO;XC90;20160219;MPV;BRUIN;Niet geregistreerd;5;2044;2144;20120507;20120507;Geen verstrekking in Open Data;Ja;4;4;M1;midden tegen schutbord onder motorkap;0.07;286;Nee;Nee;Nee;2023;Logisch;00;Ja;2016-02-19T00:00:00.000;2012-05-07T00:00:00.000;2012-05-07T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;481;0;2750;0;5000;;7;2400;2750;;;;C;20240219;750;;2024-02-19T00:00:00.000;;;e9*2001/116*0046*26;CZ30;CZ3056??;0;0.00;;;;;;2250;;;;;;;;;28924;F;66270
00VDT3;Bedrijfsauto;VOLVO;XC90;20201012;gesloten opbouw;N.v.t.;N.v.t.;5;1990;2090;20070131;20070131;Geen verstrekking in Open Data;Ja;;4;N1;midden op schutbord onder motorkap;0.07;285;Nee;Nee;Nee;2023;Logisch;00;Ja;2020-10-12T00:00:00.000;2007-01-31T00:00:00.000;2007-01-31T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;185;2590;;4840;;5;2400;2590;600;2250;2250;;20240529;750;;2024-05-29T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;23289;;
00VM48;Personenauto;VOLVO;121 P 1300;20190817;Niet geregistreerd;GROEN;Niet geregistreerd;4;1073;1173;19650630;19780511;Geen verstrekking in Open Data;Ja;2;4;M1;l. op schutbord onder motorkap;0.00;260;Nee;Nee;Nee;2019;Geen oordeel;07;Ja;2019-08-17T00:00:00.000;1965-06-30T00:00:00.000;1978-05-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00VNH7;Bedrijfsauto;VOLVO;C03 4X4 1 V;20131102;open wagen;N.v.t.;N.v.t.;6;2140;2240;19770228;20080130;Geen verstrekking in Open Data;Ja;;4;N1;veerhand r.;0.04;230;Nee;Nee;Nee;2017;Geen oordeel;05;Ja;2013-11-02T00:00:00.000;1977-02-28T00:00:00.000;2008-01-30T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;198;3450;;;;2;2998;3450;1310;1500;1500;;20190505;750;;2019-05-05T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;
00XBH2;Personenauto;VOLVO;V70;20151207;stationwagen;GRIJS;Niet geregistreerd;5;1575;1675;20120510;20120510;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.07;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2015-12-07T00:00:00.000;2012-05-10T00:00:00.000;2012-05-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2310;0;3910;;5;1984;2310;;;;B;20240510;750;;2024-05-10T00:00:00.000;;;e9*2001/116*0065*15;BW88;BW88A0??;0;0.00;;;;;;1600;;;;;;;;;10805;C;52067
00XBV8;Personenauto;VOLVO;XC60;20191213;stationwagen;ZWART;Niet geregistreerd;4;1606;1706;20120521;20120521;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat v. voorzitting;0.10;277;Nee;Ja;Nee;2022;Logisch;00;Ja;2019-12-13T00:00:00.000;2012-05-21T00:00:00.000;2012-05-21T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2270;0;4070;;5;1999;2270;;;;D;20231209;750;;2023-12-09T00:00:00.000;;;e9*2001/116*0068*10;DZ47;DZ475B??;0;0.00;;;;;;1800;;;;;;;;;15248;D;59174
00XDB2;Personenauto;VOLVO;V70;20151222;stationwagen;ZWART;Niet geregistreerd;4;1493;1593;20120524;20120524;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.08;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2015-12-22T00:00:00.000;2012-05-24T00:00:00.000;2012-05-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2190;0;3790;;5;1596;2190;;;;B;20231221;750;;2023-12-21T00:00:00.000;;;e9*2001/116*0065*15;BW48;BW48C1??;0;0.00;;;;;;1600;;;;;;;;;7264;B;42813
00XDF7;Personenauto;VOLVO;V70;20200807;stationwagen;GRIJS;Niet geregistreerd;4;1493;1593;20120525;20120525;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.08;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2020-08-07T00:00:00.000;2012-05-25T00:00:00.000;2012-05-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2190;0;3790;;5;1596;2190;;;;B;20230807;750;;2023-08-07T00:00:00.000;;;e9*2001/116*0065*15;BW48;BW48C1??;0;0.00;;;;;;1600;;;;;;;;;7264;B;42813
00XDR7;Personenauto;VOLVO;V60;20130909;stationwagen;GRIJS;Niet geregistreerd;4;1432;1532;20120525;20120525;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat by voorzitting;0.07;278;Nee;Nee;Nee;2023;Logisch;00;Ja;2013-09-09T00:00:00.000;2012-05-25T00:00:00.000;2012-05-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2100;0;3700;;5;1596;2100;;;;F;20240602;750;;2024-06-02T00:00:00.000;;;e9*2007/46*0023*07;FW45;FW45C1??;0;0.00;;;;;;1600;;;;;;;;;5454;A;39734
00XDT8;Personenauto;VOLVO;XC90;;MPV;GRIJS;Niet geregistreerd;5;2044;2144;20120524;20120524;Geen verstrekking in Open Data;Nee;4;4;M1;midden tegen schutbord onder motorkap;0.07;286;Ja;Nee;Nee;2023;Logisch;00;Nee;;2012-05-24T00:00:00.000;2012-05-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;481;0;2750;0;5000;;7;2400;2750;;;;C;20230524;750;;2023-05-24T00:00:00.000;;;e9*2001/116*0046*26;CZ30;CZ3056??;0;0.00;;;;;;2250;;;;;;;;;29285;F;70500
00XFG6;Personenauto;VOLVO;XC70;20170426;stationwagen;BLAUW;Niet geregistreerd;5;1634;1734;20120529;20120529;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.07;282;Nee;Ja;Nee;2023;Logisch;00;Ja;2017-04-26T00:00:00.000;2012-05-29T00:00:00.000;2012-05-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;484;0;2330;0;3930;;5;1984;2330;;;;B;20240424;750;;2024-04-24T00:00:00.000;;;e9*2001/116*0065*15;BZ88;BZ8850??;0;0.00;;;;;;1600;;;;;;;;;15206;D;55569
00XFL2;Personenauto;VOLVO;V70;20200320;stationwagen;GRIJS;Niet geregistreerd;5;1575;1675;20120531;20120531;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.07;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2020-03-20T00:00:00.000;2012-05-31T00:00:00.000;2012-05-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2310;0;3910;;5;1984;2310;;;;B;20240318;750;;2024-03-18T00:00:00.000;;;e9*2001/116*0065*15;BW88;BW88A0??;0;0.00;;;;;;1600;;;;;;;;;10692;C;50742
00XFP2;Personenauto;VOLVO;XC70;20200111;stationwagen;GRIJS;Niet geregistreerd;5;1618;1718;20051201;20130921;Geen verstrekking in Open Data;Ja;4;4;M1;midden tegen schutbord onder motorkap;0.09;276;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2020-01-11T00:00:00.000;2005-12-01T00:00:00.000;2013-09-21T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;476;0;2220;0;4020;;5;2521;2220;;;;;20240102;750;;2024-01-02T00:00:00.000;;;e4*2001/116*0040*14;SZ59;SZ5953??;0;;;;;;;1800;;;;;;;;;13521;D;
00XGB4;Personenauto;VOLVO;V60;20171230;stationwagen;ZWART;Niet geregistreerd;4;1432;1532;20120606;20120606;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat by voorzitting;0.07;278;Nee;Ja;Nee;2022;Logisch;00;Ja;2017-12-30T00:00:00.000;2012-06-06T00:00:00.000;2012-06-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2100;0;3700;;5;1596;2100;;;;F;20230606;750;;2023-06-06T00:00:00.000;;;e9*2007/46*0023*07;FW45;FW45C1??;0;0.00;;;;;;1600;;;;;;;;;5512;A;40410
